time,numbers
10:31,4.21
10:31,1.11
10:31,1.33
10:31,1.38
10:31,1.32
10:31,2.05
10:31,1.24
10:31,1.52
10:31,1.07
10:31,6.72
10:31,1.08
10:31,1.55
10:31,2.41
10:31,6.61
10:31,1.08
10:31,1.32
10:31,4.59
10:31,3.43
10:31,1.09
10:31,11.99
10:31,12.6
10:31,23.1
10:31,2.11
10:31,1.25
10:31,5.48
10:31,1.87
10:31,2.48
10:31,1.21
10:43,2.81
10:43,1.67
10:43,1.13
10:43,1.87
10:43,2.29
10:43,1.22
10:43,1.77
10:43,4.41
10:43,1.11
10:43,2.42
10:43,1.24
10:43,1.11
10:43,9.3
10:43,2.89
10:43,4.31
10:43,3.96
10:43,1.84
10:43,1.02
10:43,1.31
10:43,1.3
10:43,1
10:48,1.73
10:48,1.4
10:48,1.38
10:48,33.7
10:48,2.27
10:48,2.94
10:48,3.39
10:48,1.94
11:06,1.22
11:06,1.51
11:06,2.57
11:06,1.36
11:06,9.44
11:06,1.97
11:06,1.77
11:06,5.1
11:06,4.31
11:06,1.66
11:06,2.01
11:06,1.27
11:06,1.4
11:06,1.85
11:06,11.18
11:06,1.01
11:06,1.9
11:06,1.13
11:06,3.05
11:06,1.57
11:06,8.49
11:06,2.17
11:06,1.98
11:06,2.02
11:06,1.7
11:06,1.94
11:06,7.91
11:06,4.87
11:06,7.62
11:06,1.78
11:06,1.78
11:06,1.06
11:06,1.97
11:06,3.29
11:06,2.03
11:06,1.02
11:06,3.97
11:06,1.04
11:17,4.96
11:17,15.47
11:17,4.51
11:17,1.29
11:17,1.23
11:17,1.8
11:17,11.98
11:17,1.22
11:17,5.23
11:17,1.49
11:17,9.76
11:17,1.31
11:17,2.63
11:17,1.55
11:17,3.06
11:17,46.48
11:17,1.37
11:17,1.04
11:39,60.52
11:39,4.17
11:39,15.09
11:39,6.15
11:39,2.05
11:39,3.62
11:39,3.06
11:39,2.06
11:39,5.44
11:39,1.03
11:39,2.02
11:39,1.11
11:39,5.67
11:39,1.16
11:39,220.72
11:39,2.43
11:39,1.42
11:39,1.22
11:39,5.77
11:39,2.11
11:39,27.17
11:39,3.98
11:39,4.89
11:39,1.07
11:39,2
11:39,2.26
11:39,3.94
11:39,1.06
11:39,1.63
11:39,1.12
11:39,3.33
11:39,2.18
11:39,32
11:52,10
11:52,45.43
11:52,1.07
11:52,15.62
11:52,1.03
11:52,1.69
11:52,28.62
11:52,1.75
11:52,1.16
11:52,1.47
11:52,1.28
11:52,1.54
11:52,3.56
11:52,6.38
11:52,1.84
11:52,2.78
11:52,1.25
11:52,1.6
11:52,6.26
11:52,2.05
11:52,1.66
11:52,12.21
11:52,1.97
11:52,2.15
11:52,1.76
11:52,1.03
11:52,2.23
11:52,6.15
11:52,1.1
11:52,2.63
11:52,2.98
11:52,1.01
11:52,1.07
11:52,5.22
11:52,2.38
11:52,3.02
11:52,1.46
12:13,2.79
12:13,1.1
12:13,1.17
12:13,1.26
12:13,1.91
12:13,1
12:13,2.26
12:13,2.45
12:13,1.51
12:13,1.28
12:13,1.22
12:13,4.87
12:13,1
12:13,1.09
12:13,1.3
12:13,2.24
12:13,2.07
12:13,4.37
12:13,1.7
12:13,1.16
12:13,1.71
12:13,9.16
12:13,1.38
12:13,1.29
12:13,6.79
12:13,1.34
12:13,6.94
12:13,2.17
12:13,3.56
12:13,1.79
12:13,7.42
12:13,1.45
12:13,4.92
12:13,6.89
12:13,2.02
12:13,1.3
12:13,2.08
12:29,1.94
12:29,1.38
12:29,1.76
12:29,1.02
12:29,1.72
12:29,1.45
12:29,1.77
12:29,1.05
12:29,3.26
12:29,4.56
12:29,2.72
12:29,1.48
12:29,1.09
12:29,2.68
12:29,1.85
12:29,1.02
12:35,1.06
12:35,2.23
12:35,1.01
12:35,1.97
12:35,11.24
12:35,2.2
12:35,1.08
12:35,1.61
12:35,1
12:35,1.16
12:35,1.9
12:35,1.63
12:35,3.61
12:35,4.71
12:35,1.31
12:35,4.75
12:41,1.66
12:41,2.15
12:41,1.59
12:41,1.46
12:41,1.02
12:41,2.92
12:41,1.89
12:41,1.37
12:41,1.33
12:41,1.72
12:41,1.51
12:41,1.21
12:41,3.44
12:41,6.15
12:41,1.36
12:54,1.49
12:54,4.19
12:54,12.71
12:54,3.81
12:54,2.17
12:54,4.37
12:54,6.05
12:54,1.17
12:54,1.03
12:54,19.35
12:54,1.37
12:54,1.14
12:54,1.33
12:54,51.89
12:54,1.23
12:54,4.05
12:54,14.31
12:54,1.71
12:54,2.13
12:54,2.21
12:54,7.91
12:54,1.64
13:05,160.15
13:05,1.12
13:05,1.22
13:05,2.27
13:05,1.42
13:05,2.2
13:05,5.87
13:05,1.08
13:05,3.23
13:05,1.74
13:05,5.12
13:05,41.84
13:05,3.98
13:05,2.5
13:05,1.31
13:05,5.05
13:05,6.39
13:05,1
13:05,1.09
13:05,1.31
13:05,1.19
13:05,203.27
13:05,1.24
13:05,2.08
13:05,2.48
13:05,2.52
13:05,5.14
13:05,1.2
13:05,1.9
13:05,1.27
13:05,6.17
13:05,1.35
13:05,13.33
13:05,6.45
13:05,1.59
13:05,1.56
13:05,2.18
13:05,2.07
13:05,1
13:05,2.31
13:05,1.34
13:05,1.86
13:05,1.33
13:05,1.27
13:05,1.47
13:05,1.63
13:25,3.87
13:25,9.19
13:25,4.69
13:25,1.95
13:25,44.12
13:25,1.68
13:25,12.78
13:25,1.72
13:25,8.29
13:25,2.56
13:25,1
13:25,2.27
13:25,1
13:25,1.76
13:25,36.94
13:25,4.69
13:25,1
13:25,1.41
13:25,3.33
13:25,3.82
13:25,3.76
13:25,3.29
13:25,1.84
13:25,79.06
13:25,1.6
13:25,24.91
13:25,15.35
13:25,1.42
13:25,2.56
13:25,1.23
13:25,1.7
13:25,4.84
13:25,16.32
13:25,1.73
13:25,36.58
13:25,1.9
13:25,1.05
13:25,1.2
13:25,2.39
13:25,2.8
13:25,1.08
13:25,1.56
13:25,9.26
13:25,1.21
13:25,2.11
13:25,1
13:25,2.17
13:25,8.41
13:25,2.95
13:25,7.2
13:25,1.17
13:25,3.39
13:25,3.42
13:25,6.6
13:25,2.22
13:25,1.1
13:25,2.22
13:25,1.5
13:25,3.49
14:02,2.1
14:02,3.81
14:02,1.89
14:02,11
14:02,1.45
14:02,1.93
14:02,2.61
14:02,1.21
14:02,1.01
14:02,41.59
14:02,2.87
14:02,3.04
14:02,1.12
14:02,1.96
14:02,3.38
14:02,1.46
14:02,1.03
14:02,5.82
14:02,1
14:02,1.08
14:02,1.44
14:02,1.2
14:02,34.48
14:02,2.91
14:02,1.68
14:02,1.54
14:02,1.67
14:02,1.18
14:02,6.37
14:02,1.34
14:02,11.93
14:02,1.47
14:02,2.05
14:02,1
14:02,11.08
14:02,2.13
14:02,1.67
14:02,3.15
14:02,1.26
14:02,8.84
14:02,2.18
14:02,2.19
14:02,1.02
14:02,3.36
14:02,1.45
14:02,3.5
14:02,2.42
14:02,3.66
14:02,1.06
14:31,1.88
14:31,1.51
14:31,50.81
14:31,4.84
14:31,2.09
14:31,2.87
14:31,1.04
14:31,3.72
14:31,16.18
14:31,1.63
14:31,1.08
14:31,1.06
14:31,1.97
14:31,1.09
14:31,1.09
14:31,2.92
14:31,1.09
14:31,1.02
14:31,1.09
14:31,1.23
14:31,10.39
14:31,2.11
14:31,1.09
14:31,2.53
14:31,1.49
14:31,7.04
14:31,4.42
14:31,2
14:31,30.28
14:48,1.21
14:48,81.32
14:48,1.09
14:48,3.82
14:48,1.76
14:48,1.58
14:48,1.6
14:48,1.97
14:48,2.65
14:48,1.2
14:48,6.11
14:48,4.23
14:48,2.96
14:48,1.02
14:48,1.11
14:48,11.21
14:48,1.12
14:48,5.44
14:48,1.45
14:48,1.34
14:48,1.19
14:48,7.48
14:48,2.85
14:48,2.22
14:48,1.58
14:48,3.14
14:48,2.94
14:48,1.53
14:48,5.31
14:48,2.11
14:48,2.05
14:48,4.67
14:48,1.24
14:48,1
14:48,1.34
14:48,1.62
15:09,2.07
15:09,3.88
15:09,7.58
15:09,4.21
15:09,1.44
15:09,4.77
15:09,2.99
15:09,5.84
15:09,1.4
15:09,3.4
15:09,2.43
15:09,14.93
15:09,2.31
15:09,1.2
15:09,1.49
15:09,1.02
15:19,1.93
15:19,2.54
15:19,1.5
15:19,4.47
15:19,1.99
15:19,1
15:19,4.09
15:19,1.66
15:19,2.48
15:19,5.76
15:19,1.26
15:19,1.13
15:19,1.29
15:19,1.13
15:19,1.97
15:19,1.01
15:19,2.23
15:19,2.01
15:19,31.31
15:19,1.76
15:30,1.8
15:30,5.43
15:30,2.62
15:30,2.42
15:30,1
15:30,4.99
15:30,1.11
15:30,6.15
15:30,1.96
15:30,1
15:30,1.33
15:30,1.14
15:30,4.07
15:30,2.47
15:30,82.15
15:30,5.77
15:30,5.21
15:30,4.71
15:30,1.21
15:30,1.24
15:30,3.73
15:30,2.52
15:30,2.07
15:30,3.18
15:30,1.42
15:30,1.86
15:30,4.37
15:30,5.38
15:30,1.08
15:30,2.22
15:30,1.88
15:30,6.35
15:30,1.44
15:49,4.93
15:49,1.94
15:49,1.39
15:49,30.67
15:49,1.03
15:49,2.94
15:49,8.02
15:49,3.07
15:49,1.17
15:49,2.86
15:49,7.14
15:49,2.52
15:49,7.93
15:49,15.65
15:49,1.25
15:49,1.04
15:59,7.98
15:59,5.38
15:59,1.24
15:59,1.49
15:59,1.05
15:59,3.2
15:59,2.19
15:59,1.33
15:59,1.7
15:59,1
15:59,1.77
15:59,8.09
15:59,6.79
15:59,1.01
15:59,6.91
15:59,1.13
15:59,7.09
15:59,2.58
15:59,3.55
15:59,27.2
15:59,6.63
15:59,1.29
15:59,1.48
15:59,1
15:59,1.65
15:59,1.22
15:59,2.55
15:59,6.64
15:59,1.86
15:59,1.8
15:59,1.19
15:59,3.55
15:59,7.96
15:59,4.09
15:59,1.2
15:59,1
15:59,3.48
15:59,2.06
15:59,1.26
15:59,1.2
15:59,1.26
15:59,2.72
15:59,1.57
15:59,40.65
15:59,1.52
15:59,1.01
15:59,2.32
15:59,314.3
15:59,126.69
16:27,1.27
16:27,11.25
16:27,1.25
16:27,1.68
16:27,1.99
16:27,3.6
16:27,2.14
16:27,14.86
16:27,2.07
16:27,1.2
16:27,5.18
16:27,11.29
16:27,1
16:27,2.75
16:27,1.91
16:27,1.27
16:27,1.2
16:27,1.15
16:27,1.59
16:27,1.32
16:27,1.22
16:27,2.26
16:27,9.94
16:27,4.69
16:27,4.14
16:27,4.99
16:27,2.35
16:27,5.49
16:27,3.01
16:27,6.96
16:27,2.34
16:27,1.05
16:27,3.83
16:27,1.03
16:27,1.2
16:27,1.72
16:27,2.17
16:27,1.06
16:27,1.18
16:27,1.43
16:27,1.05
16:27,2.47
16:27,53.02
16:27,2.33
16:27,1.49
16:27,7.72
16:54,2.34
16:54,15.11
16:54,1.37
16:54,2.51
16:54,1.19
16:54,1.44
16:54,1.13
16:54,1.22
16:54,3.85
16:54,1.72
16:54,1.25
16:54,2.46
16:54,2.34
16:54,1.81
16:54,74.97
16:54,8.01
16:54,1.2
16:54,3.6
16:54,1.87
16:54,153.22
16:54,1.73
16:54,1.61
16:54,2.52
16:54,6.59
16:54,1.47
16:54,1.12
16:54,1.93
16:54,8.47
16:54,1.17
16:54,1.12
16:54,1
16:54,2.62
16:54,1.03
16:54,1.32
16:54,12.12
16:54,2.4
16:54,76.85
16:54,4.06
16:54,1.52
16:54,3.26
16:54,4.46
16:54,1.3
16:54,8.99
16:54,1.26
16:54,1.52
16:54,1.36
16:54,1.73
16:54,1.15
16:54,1.39
17:21,2.35
17:21,3.79
17:21,2.66
17:21,1.67
17:21,2.7
17:21,1.03
17:21,3.16
17:21,8.45
17:21,2.34
17:21,1.91
17:21,2.54
17:21,1.43
17:21,10.75
17:21,1
17:21,2.53
17:21,1.01
17:21,1.84
17:21,1.53
17:21,2.03
17:21,2.82
17:21,1.08
17:21,1.62
17:21,5.63
17:21,1.1
17:21,1.43
17:21,1.34
17:21,158.57
17:21,1.17
17:21,1
17:21,1.49
17:21,2.49
17:21,1.66
17:21,1.41
17:21,1.1
17:21,3.73
17:21,2.1
17:21,1.59
17:21,5.58
17:21,1.63
17:21,2.88
17:21,1.07
17:21,2.8
17:21,66.98
17:21,3.12
17:42,3.1
17:42,10.41
17:42,3.89
17:42,4.71
17:42,4.08
17:42,3.35
17:42,51.63
17:42,3.31
17:42,4.37
17:42,7.05
17:42,1.03
17:42,1.2
17:42,2.03
17:42,2.01
17:42,1.4
17:42,2.34
17:42,1.47
17:42,2.68
17:42,1.01
17:42,1.79
17:42,1.89
17:42,3.23
17:42,2.4
17:42,1.05
17:42,1.49
17:42,2.03
17:42,1.34
17:42,4.23
17:42,1.54
17:42,2.39
17:42,3.46
17:58,1.65
17:58,3.32
17:58,1.42
17:58,1.05
17:58,1.07
17:58,2.55
17:58,1.12
17:58,1.84
17:58,1.14
17:58,18.91
17:58,5.92
17:58,7.78
17:58,216.63
17:58,3.15
17:58,1.64
17:58,26.59
17:58,5.09
17:58,1.05
17:58,10.09
17:58,2.81
17:58,1.08
17:58,1.2
17:58,6.4
17:58,1
17:58,33.11
17:58,4.74
17:58,3.47
17:58,1.1
17:58,4.29
17:58,5.08
17:58,3.02
17:58,9.14
17:58,2.1
17:58,1.89
17:58,1.47
17:58,4.24
17:58,1.75
17:58,1.04
17:58,1.25
17:58,1.45
17:58,2.25
17:58,1.84
17:58,1.72
17:58,8.94
17:58,1.41
17:58,1.43
17:58,1.36
17:58,2.7
17:58,1.89
17:58,1.88
17:58,2.56
17:58,2.13
17:58,1.07
17:58,4.04
17:58,1.86
17:58,6.02
17:58,4.02
17:58,1.11
17:58,1.57
17:58,2.37
17:58,1.76
17:58,136.25
17:58,7
17:58,1.04
17:58,1.23
17:58,1.92
17:58,1.59
17:58,1.28
17:58,1.24
17:58,2.09
17:58,1.15
17:58,1.89
18:36,2.26
18:36,9.04
18:36,119.05
18:36,1
18:36,10.62
18:36,1.32
18:36,2.26
18:36,1
18:36,2.17
18:36,1.03
18:36,1.22
18:36,13.16
18:36,2.37
18:36,4.46
18:36,2.18
18:36,1.1
18:36,1.03
18:36,1.07
18:36,1.39
18:36,3.75
18:36,1.93
18:36,1.76
18:36,2.99
18:36,1.55
18:36,6.29
18:36,1.09
18:36,1.29
18:36,2.22
18:36,1.17
18:36,6.39
18:36,1.15
18:36,6.66
18:53,5.14
18:53,2.65
18:53,5.96
18:53,1.08
18:53,1.46
18:53,1.46
18:53,3.91
18:53,2.03
18:53,4.03
18:53,13.18
18:53,2.15
18:53,1.22
18:53,1.05
18:53,1.85
18:53,1.29
18:53,1.15
18:53,1.11
18:53,7.9
18:53,2.06
18:53,1
18:53,4.18
18:53,1.47
18:53,1.46
18:53,1
18:53,1.18
18:53,2.04
18:53,1.41
18:53,108.45
18:53,1.98
18:53,1.37
18:53,2.66
18:53,5
18:53,2.3
18:53,1.38
18:53,15.1
18:53,4.44
18:53,1.15
18:53,1.08
18:53,1.19
18:53,1.16
18:53,2.3
18:53,35.78
18:53,2.65
19:13,4.05
19:13,1.09
19:13,5.13
19:13,1.17
19:13,2.41
19:13,3.39
19:13,1.67
19:13,1
19:13,1.82
19:13,5.31
19:13,1.74
19:13,2.11
19:13,1.69
19:13,2.34
19:13,1.58
19:13,1.93
19:13,3.4
19:13,5.37
19:13,1.56
19:13,3.83
19:13,1.76
19:13,5.15
19:13,1.41
19:13,4.26
19:13,1.05
19:13,1.37
19:13,1.01
19:13,2.14
19:13,4.4
19:13,26.71
19:28,15.03
19:28,6.15
19:28,1.73
19:28,1.01
19:28,2.32
19:28,6.31
19:28,1.22
19:28,1.23
19:28,3.05
19:28,22.57
19:28,8.47
19:28,1.38
19:28,3.5
19:28,3.86
19:28,2.37
19:28,1
19:28,1.64
19:28,1.58
19:28,11.75
19:28,3.29
19:28,2.47
19:28,1.36
19:28,2.62
19:28,2.5
19:28,1
19:28,1.99
19:28,1.27
19:28,1.6
19:28,155.64
19:28,9.49
19:28,2.76
19:28,2.31
19:28,34.18
19:28,1
19:28,9.17
19:28,4.42
19:28,4.83
19:28,1.04
19:28,1.35
19:28,2.7
19:28,1
19:28,2.14
19:28,3.16
19:52,1.88
19:52,1.5
19:52,38.9
19:52,2.28
19:52,1.49
19:52,97.03
19:52,9.67
19:52,1.56
19:52,1.57
19:52,6.55
19:52,1.54
19:52,1.1
19:52,1.02
19:52,5.74
19:52,1.43
19:52,1
19:52,1.47
19:52,1
19:52,3.78
19:52,7.88
19:52,4.2
19:52,3.4
19:52,3.93
19:52,1.12
19:52,1.96
19:52,11.59
19:52,5.64
19:52,1.04
19:52,2.95
19:52,3.34
19:52,3.27
19:52,4.62
19:52,1.53
19:52,1.59
19:52,4.25
19:52,7.62
19:52,1.4
19:52,1.45
19:52,1
19:52,2.79
19:52,1.08
19:52,2.1
19:52,7.69
20:17,1
